"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
      At home,370,"1,000",540,870,485,355,410,505,400,"1,330",390,590,290,350,560,290,205,220,290,320,"1,375",410,"11,530","38,490"
      Outside Canada,85,135,150,165,55,65,80,105,110,125,225,55,165,100,70,60,40,10,20,130,120,40,"2,105","6,355"
      No fixed workplace address,295,"1,020",500,835,"1,445","1,355","1,365",280,665,"1,290",655,"1,115",225,"1,395",685,125,225,320,"1,340",720,"1,575",210,"17,610","76,425"
    Females,"2,995","6,445","4,960","9,940","7,410","7,335","9,975","3,290","5,775","13,520","5,245","6,760","2,095","10,005","5,725","2,135","1,905","1,345","6,880","5,665","11,915","3,315","134,395","472,540"
      Usual place of work,"2,330","5,270","3,765","8,515","6,190","6,385","9,010","2,475","5,035","11,250","4,505","5,900","1,630","9,110","4,845","1,545","1,580","1,190","6,070","5,105","10,460","2,580","114,560","401,895"
        In CSD of residence,"1,770","4,160","2,675","6,220","4,500","4,220","6,320","1,825","2,955","8,235","3,055","4,440","1,180","5,805","3,500","1,195","1,175",985,"4,375","3,185","8,370","1,750","81,855","185,590"
        In different CSD,560,"1,105","1,095","2,295","1,690","2,165","2,695",650,"2,080","3,015","1,450","1,460",450,"3,305","1,345",345,405,205,"1,695","1,915","2,090",830,"32,700","216,315"
         In same CD,530,"1,030","1,050","2,200","1,635","2,140","2,640",620,"2,055","2,905","1,410","1,435",450,"3,250","1,290",335,400,200,"1,665","1,855","2,035",795,"31,780","211,320"
      At home,440,670,830,700,530,385,420,605,395,"1,320",415,330,280,355,510,500,210,70,340,280,810,470,"10,835","41,790"
      Outside Canada,55,55,50,95,35,35,50,40,60,95,90,40,35,50,35,40,30,0,0,20,110,25,"1,040","2,690"
      No fixed workplace address,165,450,320,630,655,525,500,175,285,855,235,490,145,485,335,55,85,85,460,265,535,235,"7,955","26,170"
Total employed labour force 15 years and over by mode of transportation,"5,190","13,960","8,795","16,675","14,160","14,460","19,765","5,330","10,700","23,650","9,645","13,260","3,715","19,975","10,245","3,425","3,225","3,125","14,070","10,765","23,915","5,740","253,330","905,995"
    Males with a usual place of work or no fixed workplace address,"2,690","8,240","4,715","7,530","7,320","7,550","10,255","2,675","5,380","11,550","4,905","6,870","1,935","10,380","5,060","1,825","1,565","1,855","7,535","5,400","12,915","2,925","130,810","477,930"
"      Car, truck, van, as driver","2,100","3,595","3,585","4,365","4,090","5,765","7,370","2,085","4,175","7,375","3,565","3,735","1,565","7,785","3,450","1,460","1,030",680,"5,650","4,400","5,025","1,950","84,550","372,070"
"      Car, truck, van, as passenger",130,185,265,235,305,350,530,95,225,410,225,205,80,440,225,85,65,100,570,230,345,85,"5,380","22,965"
      Public transit,260,"1,005",400,950,"1,610",945,"1,685",230,745,"1,205",630,"1,370",155,"1,720",690,130,120,295,910,555,"1,705",305,"17,615","41,160"
      Walked,110,"2,915",180,"1,370",505,230,275,130,120,"1,180",275,780,95,200,260,65,190,575,250,95,"5,000",225,"14,995","25,370"
      Bicycle,90,360,265,480,655,210,305,110,100,"1,205",190,655,35,155,395,70,110,165,120,80,540,350,"6,630","11,550"
      Motorcycle,0,35,10,40,45,10,25,10,0,50,10,50,0,30,15,0,0,0,10,15,60,0,390,"1,235"
      Taxicab,0,35,0,40,40,15,0,0,0,55,10,15,0,0,25,10,25,15,15,0,55,0,340,670
      Other method,0,115,20,45,70,35,70,15,15,70,15,60,10,60,10,15,25,20,15,30,190,10,910,"2,915"
    Females with usual place of work or no fixed workplace address,"2,500","5,725","4,085","9,140","6,845","6,910","9,515","2,650","5,320","12,105","4,740","6,385","1,775","9,595","5,180","1,600","1,665","1,270","6,535","5,370","10,995","2,815","122,515","428,065"
"      Car, truck, van, as driver","1,605","2,095","2,985","4,355","2,880","3,775","4,590","1,865","3,405","6,550","2,800","2,815","1,170","4,545","2,785","1,105",995,240,"3,620","3,220","2,985","1,740","61,975","281,985"
"      Car, truck, van, as passenger",200,345,320,515,570,840,"1,285",235,570,950,505,470,225,"1,225",640,130,105,135,935,845,435,210,"11,685","40,685"
      Public transit,390,640,425,"1,695","2,010","1,650","2,800",285,"1,145","1,955","1,050","1,660",260,"3,365","1,055",115,240,335,"1,595","1,135","1,850",385,"26,010","62,860"
      Walked,225,"2,410",220,"2,150",835,420,490,195,115,"1,805",220,870,70,335,455,115,225,460,315,110,"5,230",235,"17,470","33,335"
      Bicycle,60,85,110,345,435,130,245,45,30,705,85,440,20,35,200,50,85,85,30,0,265,230,"3,715","5,295"
      Motorcycle,10,25,0,10,10,10,10,0,0,10,0,25,0,15,10,0,0,0,0,0,20,0,150,240
      Taxicab,0,35,0,60,45,0,20,0,10,75,25,40,0,10,15,30,0,0,0,0,115,0,495,775
      Other method,20,85,25,25,60,85,75,25,40,60,60,70,30,60,25,60,15,0,25,50,95,10,"1,005","2,885"
"Population 15 years and over who worked since January 1, 2000 by language used at work","7,115","18,365","12,195","21,055","18,085","17,765","24,615","7,855","13,745","30,230","12,650","16,450","5,360","24,495","12,935","5,030","4,175","4,385","17,330","13,735","30,435","7,895","325,250","1,148,265"
 Single responses,"5,915","15,915","10,980","19,195","16,070","14,685","20,340","6,625","10,970","27,950","10,320","14,490","4,125","19,445","11,180","4,170","3,585","3,755","14,025","10,720","27,140","7,280","278,285","1,027,735"
  English,"5,630","15,570","10,695","18,960","15,190","12,900","17,830","6,370","10,075","27,775","9,650","13,945","3,695","16,700","10,635","4,025","3,490","3,000","12,795","9,305","26,685","7,260","261,595","991,620"
  French,10,35,15,25,0,10,50,10,10,45,0,35,10,0,0,0,0,10,0,10,20,10,295,830
  Non-official languages,285,315,275,210,880,"1,770","2,465",250,880,120,665,515,415,"2,745",540,145,95,750,"1,235","1,405",440,10,"16,395","35,285"
"    Chinese, n.o.s.",65,85,75,20,390,845,970,125,265,10,245,265,245,"1,335",220,60,10,235,345,800,25,0,"6,645","11,110"
    Cantonese,85,75,80,40,350,715,"1,155",65,400,10,195,150,45,"1,070",235,25,40,385,285,485,10,0,"5,885","9,925"
    Punjabi,0,0,0,0,10,0,50,0,25,0,0,0,0,15,15,0,0,0,425,15,0,0,550,"4,970"
    German,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,35,135
    Mandarin,100,60,90,40,30,105,90,40,60,15,120,15,85,140,45,25,35,105,40,30,10,0,"1,290","3,705"
    Portuguese,0,0,0,0,0,0,10,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,60,95
    Spanish,10,15,0,40,20,0,15,10,0,20,10,0,0,10,10,25,0,0,20,0,0,0,215,440
    Vietnamese,0,0,0,0,15,100,75,0,10,0,10,50,0,60,15,0,0,25,70,40,0,0,475,895
    Korean,10,10,0,10,20,0,15,0,40,10,35,0,10,0,0,10,10,0,0,0,80,10,240,"1,325"
    Italian,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,15
    Other languages,10,55,25,45,50,10,80,15,75,40,55,30,35,65,10,10,0,10,50,30,310,0,"1,000","2,670"
 Multiple responses,"1,195","2,450","1,215","1,865","2,015","3,085","4,275","1,225","2,775","2,280","2,335","1,955","1,240","5,050","1,755",860,595,625,"3,305","3,015","3,290",615,"46,960","120,535"
  English and French,75,495,210,670,415,100,230,110,165,945,200,370,65,95,230,100,115,40,75,40,"1,185",260,"6,175","13,775"
  English and non-official language,"1,100","1,865",975,"1,075","1,535","2,945","3,955","1,085","2,560","1,255","2,100","1,535","1,155","4,915","1,520",725,480,585,"3,185","2,930","1,935",330,"39,705","103,890"
  French and non-official language,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,10,0,50,145
"  English, French and non-official language",20,90,30,125,60,35,85,20,55,75,35,50,15,35,10,35,0,0,40,40,160,25,"1,035","2,720"
Total population 15 years and over by hours spent doing unpaid housework,"12,135","26,280","17,510","25,700","24,990","27,075","36,280","11,955","21,030","36,070","18,845","21,285","10,420","37,005","18,490","7,505","5,770","9,950","26,695","22,120","40,310","10,840","467,195","1,620,915"
  No hours of unpaid housework,"1,740","4,100","2,065","2,240","2,825","3,605","4,985","1,735","2,555","2,770","2,430","2,665","1,595","4,875","2,230","1,170",580,"1,600","3,560","3,060","4,395","1,040","57,555","180,750"
  Less than 5 hours of unpaid housework,"3,250","9,505","4,685","9,060","7,330","6,975","9,795","3,265","5,520","12,270","5,695","6,160","2,760","9,940","5,275","2,215","1,745","2,865","7,205","5,930","14,375","3,090","138,690","431,020"
  5 to 14 hours of unpaid housework,"3,530","8,715","5,225","9,605","8,735","8,175","11,045","3,490","6,365","13,840","5,740","7,970","2,905","11,365","5,815","2,160","1,910","2,910","7,720","6,740","14,915","3,730","152,365","514,040"
  15 to 29 hours of unpaid housework,"2,185","2,725","3,435","3,460","3,820","4,725","6,040","2,155","3,910","4,970","2,925","2,795","1,870","6,410","3,260","1,135",970,"1,760","4,550","3,750","4,890","1,890","73,465","292,430"
  30 to 59 hours of unpaid housework,"1,055",875,"1,585","1,105","1,600","2,535","3,350",975,"1,940","1,705","1,525","1,155",965,"3,235","1,360",610,440,575,"2,570","1,920","1,410",855,"33,225","145,385"
  60 hours or more of unpaid housework,380,365,510,230,680,"1,070","1,060",335,745,505,520,545,320,"1,185",545,215,125,235,"1,080",710,325,240,"11,900","57,295"
 Males 15 years and over - Hours spent doing unpaid housework,"5,510","15,580","8,430","11,290","12,380","13,200","17,650","5,435","9,920","16,915","8,945","10,655","4,775","17,955","8,735","3,585","2,675","5,675","12,955","10,555","21,100","5,085","228,475","787,520"
  No hours of unpaid housework,930,"2,940","1,280","1,160","1,635","2,225","3,085",935,"1,625","1,805","1,460","1,570",965,"2,850","1,245",615,345,"1,095","2,110","1,710","2,760",595,"34,775","108,700"
  Less than 5 hours of unpaid housework,"1,925","6,305","2,845","4,875","4,435","4,210","5,605","1,900","3,200","6,730","3,165","3,625","1,510","5,925","3,000","1,360",945,"1,900","4,490","3,370","8,470","1,875","81,515","262,890"
  5 to 14 hours of unpaid housework,"1,675","4,845","2,775","3,900","4,290","4,005","5,530","1,720","3,105","6,155","2,780","3,945","1,420","5,700","2,820","1,105",845,"1,695","3,880","3,490","7,280","1,775","74,605","262,855"
  15 to 29 hours of unpaid housework,705,"1,165","1,160","1,070","1,400","1,800","2,265",640,"1,440","1,710","1,090","1,040",655,"2,380","1,150",350,415,720,"1,615","1,405","2,110",610,"26,825","106,750"
  30 to 59 hours of unpaid housework,225,185,305,255,450,730,985,165,435,415,365,290,190,890,405,130,105,185,680,460,420,190,"8,445","35,730"
  60 hours or more of unpaid housework,55,135,70,40,165,230,190,75,115,95,90,190,40,205,120,15,20,75,180,125,60,40,"2,305","10,595"
 Females 15 years and over - Hours spent doing unpaid housework,"6,630","10,700","9,080","14,405","12,610","13,875","18,630","6,520","11,110","19,155","9,895","10,630","5,645","19,050","9,750","3,925","3,095","4,275","13,740","11,565","19,205","5,755","238,715","833,395"
  No hours of unpaid housework,805,"1,155",785,"1,080","1,190","1,375","1,900",800,930,965,970,"1,095",630,"2,025",985,555,235,505,"1,450","1,350","1,630",445,"22,780","72,055"
  Less than 5 hours of unpaid housework,"1,330","3,200","1,840","4,185","2,900","2,770","4,190","1,365","2,320","5,545","2,535","2,535","1,255","4,015","2,270",850,800,965,"2,720","2,560","5,900","1,210","57,170","168,130"
  5 to 14 hours of unpaid housework,"1,860","3,865","2,450","5,710","4,445","4,165","5,520","1,775","3,265","7,685","2,955","4,030","1,490","5,660","3,000","1,055","1,065","1,215","3,845","3,255","7,635","1,965","77,755","251,180"
  15 to 29 hours of unpaid housework,"1,475","1,555","2,280","2,390","2,415","2,930","3,780","1,515","2,470","3,265","1,835","1,755","1,215","4,035","2,110",780,555,"1,035","2,935","2,355","2,780","1,275","46,635","185,680"
  30 to 59 hours of unpaid housework,825,690,"1,285",855,"1,150","1,805","2,370",810,"1,500","1,285","1,160",860,780,"2,345",955,480,335,390,"1,890","1,465",995,660,"24,780","109,655"
  60 hours or more of unpaid housework,330,230,440,190,510,835,870,260,630,410,435,360,285,980,425,205,105,165,900,585,265,200,"9,590","46,700"
"Total population 15 years and over by hours spent looking after children, without pay","12,135","26,280","17,510","25,700","24,990","27,080","36,280","11,960","21,035","36,070","18,840","21,290","10,415","37,005","18,490","7,505","5,770","9,950","26,695","22,120","40,310","10,840","467,190","1,620,915"
  No hours of unpaid child care,"8,565","22,595","11,040","21,380","17,860","17,055","23,010","7,915","12,870","28,655","12,760","16,110","6,950","23,250","12,315","5,000","3,960","8,315","15,480","14,105","35,945","7,750","332,200","1,036,935"
  Less than 5 hours of unpaid child care,"1,020","1,115","1,835","1,260","1,885","2,875","3,555","1,120","2,250","1,980","1,745","1,315","1,100","3,795","1,610",755,445,390,"3,100","2,545","1,375",730,"37,660","148,795"
  5 to 14 hours of unpaid child care,970,900,"1,700","1,130","1,655","2,520","3,615","1,285","2,200","1,690","1,675","1,300","1,130","3,900","1,500",815,495,335,"3,040","1,910",950,780,"35,445","151,710"
  15 to 29 hours of unpaid child care,640,575,"1,145",775,"1,195","1,820","2,385",685,"1,530","1,315","1,095",945,575,"2,295","1,160",325,335,325,"2,005","1,470",735,550,"23,830","105,885"
  30 to 59 hours of unpaid child care,515,525,935,445,"1,020","1,605","1,800",485,"1,195","1,235",775,695,340,"1,955",995,355,270,270,"1,510","1,035",630,540,"19,065","82,155"
  60 hours or more of unpaid child care,425,575,855,705,"1,375","1,200","1,910",470,990,"1,200",785,920,325,"1,810",905,255,265,320,"1,560","1,050",675,490,"18,990","95,445"
" Males 15 years and over - Hours spent looking after children, without pay","5,510","15,580","8,430","11,290","12,380","13,200","17,650","5,435","9,920","16,915","8,945","10,650","4,770","17,955","8,740","3,585","2,675","5,675","12,955","10,555","21,100","5,085","228,475","787,515"
  No hours of unpaid child care,"3,975","13,970","5,485","9,575","9,355","8,985","11,925","3,685","6,455","13,700","6,310","8,480","3,290","11,985","6,155","2,470","1,880","4,985","8,115","7,055","19,115","3,715","170,300","530,970"
  Less than 5 hours of unpaid child care,480,575,"1,050",600,915,"1,465","1,815",640,"1,120",885,870,660,535,"1,985",670,395,215,205,"1,605","1,305",715,365,"19,010","78,515"
  5 to 14 hours of unpaid child care,510,465,950,490,885,"1,215","1,770",590,"1,090",925,835,645,585,"1,940",840,420,270,155,"1,515","1,040",495,410,"18,025","79,290"
  15 to 29 hours of unpaid child care,295,260,510,385,495,720,"1,030",295,715,760,475,375,225,910,580,115,140,135,825,590,385,290,"10,505","49,120"
  30 to 59 hours of unpaid child care,180,210,310,125,405,560,645,125,370,485,270,280,80,665,310,115,90,110,545,335,245,215,"6,645","29,025"
  60 hours or more of unpaid child care,80,105,130,120,325,255,465,90,170,165,190,200,60,455,175,60,70,80,345,240,145,90,"3,990","20,600"
" Females 15 years and over - Hours spent looking after children, without pay","6,625","10,700","9,080","14,405","12,610","13,875","18,625","6,520","11,115","19,155","9,890","10,630","5,645","19,050","9,750","3,920","3,095","4,275","13,740","11,565","19,210","5,750","238,715","833,395"
  No hours of unpaid child care,"4,590","8,625","5,555","11,805","8,505","8,075","11,085","4,225","6,415","14,950","6,455","7,630","3,665","11,260","6,155","2,530","2,075","3,330","7,360","7,050","16,830","4,035","161,900","505,970"
  Less than 5 hours of unpaid child care,540,540,790,660,965,"1,410","1,740",480,"1,135","1,090",875,655,570,"1,815",940,360,230,180,"1,495","1,245",660,365,"18,650","70,275"
  5 to 14 hours of unpaid child care,460,435,755,640,770,"1,305","1,850",695,"1,110",765,840,655,540,"1,960",655,395,220,180,"1,520",875,460,365,"17,425","72,415"
  15 to 29 hours of unpaid child care,350,315,635,390,700,"1,095","1,355",390,815,555,615,570,350,"1,375",580,210,190,190,"1,175",885,345,265,"13,320","56,765"
  30 to 59 hours of unpaid child care,335,315,620,320,620,"1,050","1,155",365,820,750,505,410,260,"1,290",685,240,185,160,970,705,380,325,"12,420","53,135"
  60 hours or more of unpaid child care,345,475,720,590,"1,055",945,"1,445",375,815,"1,040",600,720,260,"1,350",730,190,190,235,"1,225",810,535,395,"15,000","74,845"
Total population 15 years and over by hours spent providing unpaid care or assistance to seniors,"12,140","26,280","17,510","25,695","24,990","27,080","36,280","11,960","21,035","36,070","18,840","21,285","10,415","37,005","18,490","7,505","5,765","9,950","26,695","22,120","40,310","10,840","467,190","1,620,920"
  No hours of unpaid care or assistance to seniors,"9,670","23,395","13,815","22,240","21,505","21,825","29,415","9,505","16,625","31,170","15,430","18,695","8,105","29,570","14,755","5,930","4,760","8,935","21,080","17,690","36,050","8,795","388,085","1,329,915"
  Less than 5 hours of unpaid care or assistance to seniors,"1,515","1,975","2,370","2,240","2,105","3,085","3,995","1,470","2,625","3,230","2,205","1,600","1,385","4,575","2,255","1,090",725,555,"3,220","2,765","2,635","1,355","48,855","181,500"
  5 to 9 hours of unpaid care or assistance to seniors,500,505,765,730,690,"1,300","1,400",610,"1,055",990,730,480,525,"1,645",845,270,190,255,"1,385",910,"1,085",435,"17,255","63,200"
  10 hours or more of unpaid care or assistance to seniors,455,410,560,495,690,865,"1,470",375,720,670,470,520,395,"1,220",640,210,95,210,"1,010",755,540,250,"12,995","46,300"
    10 to 19 hours of unpaid care or assistance to seniors,185,245,330,260,325,475,775,170,365,405,230,275,210,695,280,120,45,65,525,430,255,130,"6,785","24,340"
    20 hours or more or unpaid care or assistance to seniors,270,165,230,230,365,385,690,205,355,270,245,240,190,525,360,95,45,140,485,330,285,125,"6,215","21,960"
 Males 15 years and over - Hours spent providing unpaid care or assistance to seniors,"5,510","15,580","8,430","11,290","12,380","13,200","17,655","5,440","9,920","16,910","8,950","10,655","4,770","17,955","8,740","3,580","2,670","5,675","12,950","10,555","21,100","5,085","228,475","787,520"
  No hours of unpaid care or assistance to seniors,"4,575","14,090","6,955","10,165","10,955","10,960","14,660","4,430","8,130","15,025","7,505","9,625","3,840","14,835","7,240","2,915","2,215","5,105","10,485","8,530","19,185","4,295","195,235","667,725"
  Less than 5 hours of unpaid care or assistance to seniors,625,"1,050",985,835,880,"1,330","1,795",640,"1,135","1,245","1,005",635,610,"1,960",995,495,370,345,"1,490","1,365","1,285",545,"21,590","79,980"
  5 to 9 hours of unpaid care or assistance to seniors,160,245,320,175,300,560,610,225,435,380,290,215,170,685,305,120,65,120,570,380,450,165,"6,920","24,005"
  10 hours or more of unpaid care or assistance to seniors,145,195,180,120,245,350,590,145,215,260,145,180,155,470,205,45,25,100,410,285,190,80,"4,730","15,810"
    10 to 19 hours of unpaid care or assistance to seniors,70,140,95,65,130,200,320,70,125,190,45,120,90,280,70,15,15,20,240,170,90,50,"2,610","8,540"
    20 hours or more or unpaid care or assistance to seniors,80,55,80,55,110,150,275,75,90,70,105,60,65,190,130,30,0,75,170,115,95,30,"2,125","7,275"
 Females 15 years and over - Hours spent providing unpaid care or assistance to seniors,"6,630","10,700","9,080","14,405","12,610","13,880","18,625","6,525","11,115","19,160","9,895","10,635","5,645","19,055","9,750","3,920","3,095","4,280","13,740","11,565","19,210","5,755","238,715","833,400"
  No hours of unpaid care or assistance to seniors,"5,095","9,305","6,865","12,070","10,550","10,865","14,755","5,075","8,500","16,150","7,925","9,070","4,270","14,735","7,515","3,020","2,545","3,820","10,600","9,165","16,865","4,505","192,845","662,190"
  Less than 5 hours of unpaid care or assistance to seniors,885,920,"1,390","1,405","1,220","1,755","2,200",825,"1,495","1,985","1,205",965,775,"2,610","1,265",590,355,210,"1,730","1,400","1,355",810,"27,265","101,520"
  5 to 9 hours of unpaid care or assistance to seniors,345,260,445,555,395,740,790,385,615,610,440,265,355,960,535,145,125,135,820,525,635,275,"10,330","39,200"
  10 hours or more of unpaid care or assistance to seniors,305,210,380,370,445,510,875,230,505,415,325,340,245,745,430,160,65,110,600,475,355,165,"8,265","30,485"
    10 to 19 hours of unpaid care or assistance to seniors,115,105,230,200,190,280,460,105,245,215,185,155,125,410,210,100,25,45,285,265,165,70,"4,180","15,805"
    20 hours or more or unpaid care or assistance to seniors,190,110,145,180,255,235,420,130,260,200,140,185,125,335,225,65,40,65,315,215,195,90,"4,090","14,690"
"Total population 15 years and over with employment income, by sex and work activity ","6,890","17,600","11,755","20,565","17,275","17,140","23,960","7,660","13,410","29,160","11,915","15,695","5,050","23,710","12,675","4,865","4,065","4,160","16,600","13,335","28,980","7,625","313,515","1,108,050"
  Average employment income $ ,"$49,748","$41,812","$51,555","$41,601","$25,841","$26,276","$24,785","$52,471","$28,596","$41,891","$29,598","$27,450","$37,116"," $24,081 "," $31,141 "," $57,450 "," $37,822 "," $20,037 "," $24,025 "," $26,821 "," $34,766 "," $52,718 ","$33,913","$34,007"
  Standard error of average employment income $ ,"$4,836",$854,"$1,522",$634,$407,$684,$296,"$2,608",$443,$793,$596,$458,"$1,553", $265 , $894 ," $3,385 "," $1,160 ", $622 , $397 , $466 , $544 ," $2,548 ",$216,$97
"  Worked full year, full time ","2,970","9,345","5,185","11,320","7,150","7,980","11,175","3,220","6,275","14,590","5,370","7,135","2,155","11,445","5,885","2,035","1,950","1,785","7,065","6,490","15,445","3,215","150,750","562,445"
  Average employment income $ ,"$85,105","$53,736","$79,058","$52,026","$35,705","$36,569","$32,572","$75,956","$40,797","$56,372","$42,008","$36,072","$52,785"," $32,936 "," $41,944 "," $86,422 "," $51,403 "," $28,115 "," $33,843 "," $36,235 "," $44,265 "," $82,498 ","$46,623","$46,806"
  Standard error of average employment income $ ,"$11,123",$972,"$2,922",$809,$721,"$1,355",$399,"$4,983",$656,"$1,455",$963,$781,"$1,948", $382 , $899 ," $6,908 "," $1,824 "," $1,030 ", $712 , $667 , $908 ," $5,416 ",$390,$164
  Worked part year or part time ,"3,580","7,875","6,325","8,795","9,645","8,625","11,810","4,165","6,660","14,150","6,195","8,130","2,630","11,305","6,275","2,570","2,045","2,150","9,030","6,430","13,090","4,270","153,630","516,420"
  Average employment income $ ,"$23,710","$28,918","$30,387","$29,473","$19,366","$17,775","$18,376","$35,937","$18,422","$27,843","$19,746","$20,655","$26,375"," $16,242 "," $22,695 "," $37,678 "," $25,711 "," $14,611 "," $17,130 "," $18,262 "," $24,131 "," $31,645 ","$22,667","$21,244"
  Standard error of average employment income $ ,"$1,086","$1,441","$1,278",$970,$425,$401,$406,"$2,653",$487,$527,$649,$496,"$2,383", $303 ," $1,549 "," $3,009 "," $1,244 ", $712 , $391 , $600 , $451 ," $1,495 ",$194,$90
 Males 15 years and over with employment income by work activity ,"3,495","10,380","6,075","9,420","8,895","8,905","12,310","3,735","6,710","14,140","6,050","8,045","2,615","12,365","6,200","2,505","1,930","2,530","8,670","6,695","15,730","3,830","160,910","576,175"
  Average employment income $ ,"$70,006","$46,388","$67,606","$47,047","$28,312","$29,959","$27,259","$70,042","$31,666","$49,877","$34,483","$29,321","$43,401"," $26,609 "," $35,500 "," $78,670 "," $42,361 "," $20,684 "," $26,359 "," $30,649 "," $38,512 "," $70,012 ","$39,423","$40,665"
  Standard error of average employment income $ ,"$9,482","$1,291","$2,654","$1,134",$657,"$1,253",$470,"$4,841",$716,"$1,551","$1,022",$754,"$2,319", $406 ," $1,705 "," $6,102 "," $1,835 ", $864 , $576 , $764 , $935 ," $4,820 ",$394,$172
"  Worked full year, full time ","1,705","5,720","3,225","5,415","4,055","4,585","6,070","1,705","3,340","7,780","2,980","3,735","1,335","6,320","3,255","1,200","1,015","1,080","4,000","3,510","8,830","1,945","83,210","326,275"
  Average employment income $ ,"$115,136","$58,849","$94,678","$56,627","$37,886","$39,971","$35,211","$101,787","$44,516","$65,830","$46,580","$38,272","$57,626"," $36,074 "," $45,329 "," $110,762 "," $56,850 "," $28,945 "," $34,871 "," $40,308 "," $47,697 "," $101,481 ","$52,910","$53,095"
  Standard error of average employment income $ ,"$19,085","$1,395","$4,338","$1,250","$1,144","$2,305",$603,"$8,714","$1,019","$2,669","$1,587","$1,334","$2,879", $569 ," $1,368 "," $10,997 "," $2,574 "," $1,453 ", $928 ," $1,072 "," $1,532 "," $8,658 ",$680,$268
  Worked part year or part time ,"1,645","4,530","2,745","3,810","4,645","4,045","5,740","1,895","3,095","6,205","2,955","4,095","1,175","5,575","2,720","1,165",880,"1,330","4,435","2,990","6,690","1,845","73,475","237,200"
  Average employment income $ ,"$28,510","$31,829","$37,511","$34,745","$20,664","$19,923","$20,189","$44,486","$19,715","$30,795","$22,984","$21,968","$29,025"," $17,133 "," $25,801 "," $51,742 "," $26,641 "," $15,231 "," $19,546 "," $20,312 "," $27,031 "," $38,507 ","$25,621","$24,976"
  Standard error of average employment income $ ,"$2,067","$2,294","$2,450","$2,060",$646,$663,$693,"$4,835",$830,$907,"$1,161",$740,"$3,731", $456 ," $3,478 "," $5,913 "," $2,163 ", $968 , $659 ," $1,007 ", $721 ," $3,028 ",$352,$172
 Females 15 years and over with employment income by work activity,"3,390","7,215","5,680","11,150","8,380","8,240","11,650","3,925","6,700","15,020","5,865","7,655","2,440","11,340","6,480","2,355","2,135","1,635","7,935","6,640","13,245","3,785","152,605","531,875"
  Average employment income $ ,"$28,853","$35,227","$34,401","$36,999","$23,219","$22,296","$22,171","$35,737","$25,521","$34,371","$24,562","$25,485","$30,377"," $21,325 "," $26,969 "," $34,852 "," $33,719 "," $19,035 "," $21,474 "," $22,964 "," $30,318 "," $35,218 ","$28,103","$26,793"
  Standard error of average employment income $ ,$972,$854,"$1,167",$661,$463,$438,$348,"$1,867",$514,$498,$567,$519,"$1,999", $325 , $620 ," $1,913 "," $1,442 ", $848 , $536 , $507 , $430 ," $1,286 ",$151,$75
"  Worked full year, full time ","1,265","3,630","1,955","5,910","3,095","3,400","5,105","1,515","2,940","6,810","2,395","3,405",815,"5,120","2,630",830,935,705,"3,065","2,980","6,615","1,275","67,540","236,165"
  Average employment income $ ,"$44,613","$45,683","$53,341","$47,809","$32,850","$31,979","$29,437","$46,905","$36,576","$45,557","$36,327","$33,660","$44,888"," $29,067 "," $37,760 "," $51,036 "," $45,484 "," $26,845 "," $32,502 "," $31,437 "," $39,682 "," $53,520 ","$38,878","$38,118"
  Standard error of average employment income $ ,"$1,765","$1,083","$2,347","$1,035",$732,$711,$484,"$2,483",$766,$736,$840,$769,"$1,986", $463 ," $1,063 "," $3,612 "," $2,524 "," $1,329 "," $1,105 ", $659 , $588 ," $2,647 ",$230,$121
  Worked part year or part time ,"1,935","3,350","3,575","4,985","5,000","4,575","6,070","2,270","3,560","7,950","3,245","4,035","1,455","5,735","3,560","1,405","1,160",815,"4,595","3,445","6,395","2,425","80,150","279,220"
  Average employment income $ ," $19,631 "," $24,982 "," $24,916 "," $25,443 "," $18,161 "," $15,876 "," $16,661 "," $28,801 "," $17,298 "," $25,539 "," $16,797 "," $19,322 "," $24,241 "," $15,376 "," $20,324 "," $25,972 "," $25,005 "," $13,600 "," $14,799 "," $16,484 "," $21,100 "," $26,411 "," $19,958 "," $18,074 "
